Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
Housing,Value,"$200,000 to $299,999",30619,"(+/- 2325 )",50787,"(+/- 3802 )",24919,"(+/- 2472 )",64135,"(+/- 3973 )",47137,"(+/- 2838 )"
Housing,Value,"$300,000 to $499,999",95299,"(+/- 4011 )",64666,"(+/- 3426 )",85547,"(+/- 3360 )",61544,"(+/- 3671 )",73656,"(+/- 3702 )"
Housing,Value,"$500,000 to $999,999",55793,"(+/- 2970 )",29853,"(+/- 2145 )",59985,"(+/- 2803 )",20035,"(+/- 1964 )",38022,"(+/- 2624 )"
Housing,Value,"$1,000,000 or more",6250,"(+/- 1168 )",5615,"(+/- 1094 )",4391,"(+/- 843 )",3259,"(+/- 1088 )",4400,"(+/- 908 )"
Housing,Value,"Median (dollars)",399700,"(+/- 6797 )",282600,"(+/- 6588 )",413400,"(+/- 7556 )",268900,"(+/- 5238 )",335600,"(+/- 5837 )"
Housing,"Mortgage Status","Owner-occupied units",207670,"(+/- 4684 )",217943,"(+/- 4796 )",190899,"(+/- 4099 )",208590,"(+/- 5160 )",199751,"(+/- 4657 )"
Housing,"Mortgage Status","Housing units with a mortgage",145070,"(+/- 4280 )",132178,"(+/- 5093 )",136270,"(+/- 3959 )",122721,"(+/- 4484 )",131741,"(+/- 4840 )"
Housing,"Mortgage Status","Housing units without a mortgage",62600,"(+/- 3225 )",85765,"(+/- 4105 )",54629,"(+/- 3148 )",85869,"(+/- 4010 )",68010,"(+/- 4022 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",145070,"(+/- 4280 )",132178,"(+/- 5093 )",136270,"(+/- 3959 )",122721,"(+/- 4484 )",131741,"(+/- 4840 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",226,"(+/- 200 )",2222,"(+/- 872 )",486,"(+/- 323 )",839,"(+/- 435 )",1100,"(+/- 466 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",8820,"(+/- 1400 )",22724,"(+/- 2206 )",7256,"(+/- 1274 )",19186,"(+/- 2046 )",11387,"(+/- 1391 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",31021,"(+/- 2444 )",41952,"(+/- 3196 )",28900,"(+/- 2571 )",44624,"(+/- 3248 )",34883,"(+/- 3165 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",42549,"(+/- 2943 )",33103,"(+/- 2892 )",41070,"(+/- 3029 )",33062,"(+/- 2738 )",37456,"(+/- 3084 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",27728,"(+/- 2855 )",16602,"(+/- 2411 )",26512,"(+/- 2421 )",13514,"(+/- 2102 )",22786,"(+/- 2097 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",16135,"(+/- 1861 )",6991,"(+/- 1262 )",16471,"(+/- 1592 )",6359,"(+/- 1199 )",10987,"(+/- 1389 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",18591,"(+/- 1906 )",8584,"(+/- 1515 )",15575,"(+/- 1454 )",5137,"(+/- 1126 )",13142,"(+/- 1728 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1873,"(+/- 34 )",1490,"(+/- 36 )",1883,"(+/- 31 )",1465,"(+/- 31 )",1735,"(+/- 34 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",62600,"(+/- 3225 )",85765,"(+/- 4105 )",54629,"(+/- 3148 )",85869,"(+/- 4010 )",68010,"(+/- 4022 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",3451,"(+/- 1152 )",10148,"(+/- 1474 )",1662,"(+/- 680 )",10854,"(+/- 1932 )",5313,"(+/- 1176 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",5744,"(+/- 1043 )",22671,"(+/- 2257 )",4460,"(+/- 1087 )",21151,"(+/- 2057 )",10596,"(+/- 1402 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",18049,"(+/- 1743 )",31253,"(+/- 3023 )",15565,"(+/- 1603 )",30948,"(+/- 2569 )",23167,"(+/- 2404 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",16770,"(+/- 1779 )",13755,"(+/- 1673 )",17057,"(+/- 1790 )",14766,"(+/- 1712 )",14979,"(+/- 1809 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",9289,"(+/- 1157 )",4979,"(+/- 1206 )",8179,"(+/- 1171 )",4888,"(+/- 953 )",8435,"(+/- 1393 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",9297,"(+/- 1491 )",2959,"(+/- 842 )",7706,"(+/- 1172 )",3262,"(+/- 812 )",5520,"(+/- 1107 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",644,"(+/- 20 )",455,"(+/- 12 )",659,"(+/- 14 )",466,"(+/- 12 )",561,"(+/- 14 )"
Housing,"Gross Rent","Occupied units paying rent",119179,"(+/- 4398 )",106472,"(+/- 5269 )",137659,"(+/- 4478 )",118099,"(+/- 4459 )",110614,"(+/- 4299 )"
Housing,"Gross Rent","Less than $500",4547,"(+/- 1157 )",14277,"(+/- 2047 )",7944,"(+/- 1765 )",10157,"(+/- 1714 )",6935,"(+/- 1373 )"
Housing,"Gross Rent","$500 to $999",23933,"(+/- 2370 )",48087,"(+/- 3611 )",26624,"(+/- 3009 )",52239,"(+/- 3800 )",36375,"(+/- 3560 )"
Housing,"Gross Rent","$1,000 to $1,499",49966,"(+/- 3318 )",30122,"(+/- 3400 )",61112,"(+/- 3646 )",42717,"(+/- 3140 )",43023,"(+/- 2855 )"
Housing,"Gross Rent","$1,500 to $1,999",27350,"(+/- 2635 )",10063,"(+/- 2000 )",26225,"(+/- 2473 )",9800,"(+/- 1595 )",16029,"(+/- 2195 )"
Housing,"Gross Rent","$2,000 to $2,499",9959,"(+/- 1803 )",3020,"(+/- 1036 )",10804,"(+/- 1887 )",1973,"(+/- 671 )",6120,"(+/- 1378 )"
Housing,"Gross Rent","$2,500 to $2,999",1928,"(+/- 583 )",602,"(+/- 393 )",3430,"(+/- 792 )",644,"(+/- 431 )",998,"(+/- 495 )"
Housing,"Gross Rent","$3,000 or more",1496,"(+/- 568 )",301,"(+/- 220 )",1520,"(+/- 473 )",569,"(+/- 382 )",1134,"(+/- 478 )"
Housing,"Gross Rent","Median (dollars)",1328,"(+/- 25 )",921,"(+/- 26 )",1276,"(+/- 24 )",973,"(+/- 22 )",1119,"(+/- 29 )"
Housing,"Gross Rent","No rent paid",3781,"(+/- 1029 )",7821,"(+/- 1532 )",3396,"(+/- 859 )",5193,"(+/- 1089 )",2903,"(+/- 875 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",330630,"(+/- 4021 )",332236,"(+/- 4252 )",331954,"(+/- 4313 )",331882,"(+/- 3114 )",313268,"(+/- 3584 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",12180,"(+/- 1955 )",20548,"(+/- 2433 )",18423,"(+/- 2104 )",20635,"(+/- 2613 )",15243,"(+/- 2051 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",8709,"(+/- 1477 )",15178,"(+/- 1904 )",11731,"(+/- 1566 )",18303,"(+/- 2365 )",11995,"(+/- 1788 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",21573,"(+/- 2394 )",34446,"(+/- 3284 )",25133,"(+/- 2848 )",34703,"(+/- 2671 )",24268,"(+/- 2596 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",25253,"(+/- 2659 )",32102,"(+/- 3023 )",25140,"(+/- 2546 )",35679,"(+/- 2731 )",28254,"(+/- 2967 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",38979,"(+/- 2963 )",47927,"(+/- 3630 )",37444,"(+/- 2486 )",46837,"(+/- 2999 )",39444,"(+/- 2858 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",52316,"(+/- 3080 )",64735,"(+/- 3925 )",55179,"(+/- 3737 )",69034,"(+/- 4176 )",56368,"(+/- 4096 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",44182,"(+/- 3650 )",46684,"(+/- 3399 )",45625,"(+/- 3619 )",41249,"(+/- 2969 )",44533,"(+/- 3076 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",65371,"(+/- 3792 )",40889,"(+/- 2962 )",58543,"(+/- 3733 )",39105,"(+/- 2919 )",49933,"(+/- 3269 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",30400,"(+/- 2325 )",15385,"(+/- 2241 )",26597,"(+/- 2391 )",14170,"(+/- 1841 )",20236,"(+/- 2156 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",31667,"(+/- 2532 )",14342,"(+/- 1523 )",28139,"(+/- 2397 )",12167,"(+/- 1536 )",22994,"(+/- 2788 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",78111,"(+/- 2241 )",56358,"(+/- 1823 )",71602,"(+/- 1754 )",52501,"(+/- 1217 )",65506,"(+/- 1929 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",102409,"(+/- 2632 )",73897,"(+/- 1832 )",92644,"(+/- 1898 )",68827,"(+/- 1690 )",88668,"(+/- 3013 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",852301,"(+/- 5146 )",817023,"(+/- 3902 )",836492,"(+/- 7855 )",810647,"(+/- 4647 )",834613,"(+/- 6641 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",795901,"(+/- 8706 )",754476,"(+/- 6613 )",779551,"(+/- 9117 )",751798,"(+/- 7068 )",776243,"(+/- 7989 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",646416,"(+/- 9536 )",501140,"(+/- 13291 )",588927,"(+/- 11965 )",503146,"(+/- 10172 )",571127,"(+/- 11250 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",259195,"(+/- 9163 )",386515,"(+/- 11497 )",277703,"(+/- 11604 )",382537,"(+/- 8726 )",320924,"(+/- 10515 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",56400,"(+/- 6746 )",62547,"(+/- 5771 )",56941,"(+/- 5372 )",58849,"(+/- 5277 )",58370,"(+/- 5626 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",198872,"(+/- 2601 )",188325,"(+/- 2328 )",169175,"(+/- 3514 )",165266,"(+/- 2614 )",202646,"(+/- 3451 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",7220,"(+/- 2465 )",6126,"(+/- 1644 )",5206,"(+/- 1862 )",6515,"(+/- 2157 )",7824,"(+/- 2065 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",6.0,"(+/- 1.0 )",9.8,"(+/- 1.2 )",6.1,"(+/- 0.9 )",9.9,"(+/- 1.2 )",8.3,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",8.4,"(+/- 1.8 )",18.2,"(+/- 2.4 )",8.9,"(+/- 2.0 )",17.6,"(+/- 2.3 )",12.6,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",9.9,"(+/- 4.6 )",19.3,"(+/- 5.9 )",5.4,"(+/- 3.3 )",20.1,"(+/- 5.8 )",11.9,"(+/- 4.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.9,"(+/- 0.9 )",5.1,"(+/- 1.1 )",3.7,"(+/- 0.9 )",5.1,"(+/- 0.9 )",4.1,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.8,"(+/- 1.7 )",8.4,"(+/- 2.4 )",5.4,"(+/- 1.9 )",8.0,"(+/- 2.2 )",5.1,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",6.1,"(+/- 4.4 )",3.8,"(+/- 2.3 )",3.0,"(+/- 2.1 )",5.7,"(+/- 4.4 )",5.8,"(+/- 5.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",18.0,"(+/- 4.1 )",29.9,"(+/- 5.6 )",17.0,"(+/- 3.6 )",30.2,"(+/- 3.9 )",24.4,"(+/- 4.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",22.6,"(+/- 5.3 )",39.7,"(+/- 7.7 )",22.9,"(+/- 6.4 )",40.9,"(+/- 5.3 )",33.2,"(+/- 6.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",22.8,"(+/- 18.0 )",54.5,"(+/- 15.1 )",22.0,"(+/- 15.5 )",66.4,"(+/- 13.7 )",32.4,"(+/- 14.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",9.4,"(+/- 1.0 )",14.1,"(+/- 1.1 )",11.4,"(+/- 0.9 )",16.7,"(+/- 1.1 )",11.5,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",11.3,"(+/- 2.5 )",20.0,"(+/- 3.1 )",12.6,"(+/- 3.1 )",21.3,"(+/- 2.9 )",14.5,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",10.8,"(+/- 2.4 )",19.4,"(+/- 3.1 )",11.9,"(+/- 3.2 )",20.2,"(+/- 2.8 )",14.1,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",12.8,"(+/- 4.2 )",21.6,"(+/- 5.5 )",11.6,"(+/- 3.7 )",23.8,"(+/- 4.8 )",17.3,"(+/- 3.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",10.1,"(+/- 2.4 )",18.6,"(+/- 3.0 )",12.1,"(+/- 3.4 )",18.9,"(+/- 3.0 )",13.0,"(+/- 2.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",8.8,"(+/- 0.8 )",12.5,"(+/- 0.8 )",11.1,"(+/- 0.7 )",15.6,"(+/- 0.9 )",10.7,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",7.7,"(+/- 1.4 )",7.9,"(+/- 1.0 )",8.3,"(+/- 1.3 )",8.0,"(+/- 1.3 )",7.7,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",6.7,"(+/- 1.2 )",10.6,"(+/- 1.4 )",6.7,"(+/- 1.2 )",10.7,"(+/- 1.3 )",8.6,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",19.1,"(+/- 1.4 )",26.2,"(+/- 1.9 )",22.6,"(+/- 1.5 )",32.8,"(+/- 1.4 )",23.5,"(+/- 1.9 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",204062,"(+/- 4467 )",177644,"(+/- 4780 )",190890,"(+/- 6652 )",192806,"(+/- 4749 )",196403,"(+/- 5218 )"
Education,"School Enrollment","Nursery school, preschool",15119,"(+/- 1858 )",10425,"(+/- 1455 )",14237,"(+/- 1618 )",8994,"(+/- 1402 )",10193,"(+/- 1567 )"
Education,"School Enrollment",Kindergarten,8995,"(+/- 1572 )",9916,"(+/- 1606 )",8932,"(+/- 1690 )",6834,"(+/- 1255 )",9290,"(+/- 1655 )"
Education,"School Enrollment","Elementary school (grades 1-8)",87316,"(+/- 2470 )",80814,"(+/- 2929 )",70533,"(+/- 3172 )",69127,"(+/- 2562 )",86724,"(+/- 2796 )"
Education,"School Enrollment","High school (grades 9-12)",43343,"(+/- 2335 )",40348,"(+/- 2448 )",34829,"(+/- 2113 )",37658,"(+/- 1998 )",47456,"(+/- 2922 )"
Education,"School Enrollment","College or graduate school",49289,"(+/- 3373 )",36141,"(+/- 3501 )",62359,"(+/- 5184 )",70193,"(+/- 3606 )",42740,"(+/- 3705 )"
Education,"Educational Attainment","Population 25 years and over",597355,"(+/- 3322 )",590276,"(+/- 4008 )",613590,"(+/- 5074 )",571109,"(+/- 4052 )",580050,"(+/- 5216 )"
Education,"Educational Attainment","Less than 9th grade",20553,"(+/- 2854 )",22970,"(+/- 3022 )",23321,"(+/- 3628 )",15471,"(+/- 2326 )",24049,"(+/- 3404 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",27023,"(+/- 2972 )",43200,"(+/- 3671 )",30245,"(+/- 3160 )",38250,"(+/- 3737 )",34843,"(+/- 3308 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",113655,"(+/- 5752 )",148206,"(+/- 5668 )",114343,"(+/- 5807 )",143926,"(+/- 6226 )",135681,"(+/- 7400 )"
Education,"Educational Attainment","Some college, no degree",130440,"(+/- 4869 )",163278,"(+/- 5720 )",138779,"(+/- 5689 )",163251,"(+/- 5456 )",148845,"(+/- 6237 )"
Education,"Educational Attainment","Associate's degree",51260,"(+/- 3874 )",59099,"(+/- 4395 )",51558,"(+/- 3756 )",54691,"(+/- 3734 )",52900,"(+/- 3559 )"
Education,"Educational Attainment","Bachelor's degree",155146,"(+/- 4999 )",96340,"(+/- 4652 )",155498,"(+/- 5842 )",95433,"(+/- 4935 )",118773,"(+/- 5235 )"
Education,"Educational Attainment","Graduate or professional degree",99278,"(+/- 4847 )",57183,"(+/- 3527 )",99846,"(+/- 4501 )",60087,"(+/- 3337 )",64959,"(+/- 4119 )"
Education,"Educational Attainment","Percent high school graduate or higher",92.0,"(+/- 0.7 )",88.8,"(+/- 0.8 )",91.3,"(+/- 0.7 )",90.6,"(+/- 0.8 )",89.8,"(+/- 0.8 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",42.6,"(+/- 1.1 )",26.0,"(+/- 1.0 )",41.6,"(+/- 1.1 )",27.2,"(+/- 1.0 )",31.7,"(+/- 1.1 )"

"Source: 2018 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",367384,G,253292,G,398780,G,243054,G,270511,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",1810,H,2857,G,252,H,4722,G,2752,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",219,G,467,H,100,H,398,H,198,G
Business,"Paid employees for pay period including March 12",Utilities,1474,G,1566,J,3610,H,583,H,534,H
Business,"Paid employees for pay period including March 12",Construction,20068,G,14852,G,20380,G,12126,G,18647,G
Business,"Paid employees for pay period including March 12",Manufacturing,44153,G,27246,G,29776,G,31075,G,31457,G
Business,"Paid employees for pay period including March 12","Wholesale trade",29239,H,8456,G,21968,G,8953,G,13661,G
Business,"Paid employees for pay period including March 12","Retail trade",44624,G,42632,G,41653,G,38706,G,40898,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",6107,G,11058,G,22050,G,8725,G,8997,G
Business,"Paid employees for pay period including March 12",Information,12830,G,4850,G,10327,G,5480,H,4479,G
Business,"Paid employees for pay period including March 12","Finance and insurance",14252,H,7731,G,19914,G,7968,G,9428,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",7661,G,4070,G,7996,G,3962,G,4979,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",28050,G,9497,G,29985,G,9522,G,12582,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",24215,H,4776,G,13043,G,3719,G,5030,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",23046,G,12824,G,23499,G,14129,G,17310,G
Business,"Paid employees for pay period including March 12","Educational services",11443,G,3063,G,15847,H,2875,G,5378,H
Business,"Paid employees for pay period including March 12","Health care and social assistance",44959,G,45717,G,63049,G,46101,G,45264,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",5218,G,6300,G,7342,G,3981,G,4626,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",34268,G,33894,G,48157,G,29565,G,31081,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",13659,G,11352,G,19728,G,10373,G,13147,G
Business,"Paid employees for pay period including March 12","Industries not classified",89,J,84,H,104,J,91,G,63,J
Business,"Annual payroll ($1,000)","Total for all sectors",22047293,G,9504381,G,20189039,G,9714273,G,11619930,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",83668,H,126226,G,18426,H,198624,G,95236,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",12702,G,26552,H,7009,G,20617,G,11666,G
Business,"Annual payroll ($1,000)",Utilities,151650,G,133649,H,379023,H,53603,H,49903,H
Business,"Annual payroll ($1,000)",Construction,1266662,G,695460,G,1301400,G,620811,G,1042629,G
Business,"Annual payroll ($1,000)",Manufacturing,2847179,G,1119927,G,1506162,G,1747874,G,1685150,G
Business,"Annual payroll ($1,000)","Wholesale trade",3059600,H,395487,G,1366501,G,472901,G,827219,G
Business,"Annual payroll ($1,000)","Retail trade",1312239,G,1193372,G,1343391,G,1047174,G,1145455,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",299506,G,493685,G,1128981,G,366789,G,414470,G
Business,"Annual payroll ($1,000)",Information,943450,G,246459,G,768093,G,290471,H,329512,G
Business,"Annual payroll ($1,000)","Finance and insurance",962015,G,426316,G,1817781,G,449125,G,674559,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",328977,G,133168,G,380138,G,124905,G,227086,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",2512936,H,463047,G,2294088,G,477638,G,842500,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",3522325,H,315944,G,1263008,G,267814,G,313410,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",898939,G,399518,H,779946,G,378438,G,521515,G
Business,"Annual payroll ($1,000)","Educational services",265607,G,74979,G,471082,G,67571,G,134277,H
Business,"Annual payroll ($1,000)","Health care and social assistance",2234352,G,2224403,G,3488165,G,2263259,G,2271879,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",197829,H,116064,G,211873,G,79087,G,99713,G
Business,"Annual payroll ($1,000)","Accommodation and food services",661004,G,641121,G,991035,G,509397,G,580380,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",484156,G,277134,G,669871,G,276972,G,352212,G
Business,"Annual payroll ($1,000)","Industries not classified",2497,H,1870,G,3066,G,1203,G,1159,G
Business,"Total Establishments","Total for all sectors",23055,X,23524,X,26229,X,19514,X,21740,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",171,X,364,X,36,X,495,X,273,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",15,X,46,X,10,X,43,X,19,X
Business,"Total Establishments",Utilities,34,X,121,X,44,X,39,X,31,X
Business,"Total Establishments",Construction,2244,X,2921,X,2275,X,2041,X,2755,X
Business,"Total Establishments",Manufacturing,1232,X,1100,X,1136,X,1045,X,980,X
Business,"Total Establishments","Wholesale trade",1272,X,933,X,1281,X,742,X,1017,X
Business,"Total Establishments","Retail trade",2571,X,3207,X,2902,X,2706,X,2713,X
Business,"Total Establishments","Transportation and warehousing",527,X,729,X,775,X,582,X,530,X
Business,"Total Establishments",Information,486,X,460,X,569,X,311,X,306,X
Business,"Total Establishments","Finance and insurance",1208,X,1154,X,1172,X,1014,X,1333,X
Business,"Total Establishments","Real estate and rental and leasing",1431,X,1272,X,1452,X,999,X,1208,X
Business,"Total Establishments","Professional, scientific, and technical services",2740,X,2122,X,3614,X,1723,X,2104,X
Business,"Total Establishments","Management of companies and enterprises",204,X,97,X,186,X,100,X,113,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1379,X,1170,X,1212,X,890,X,1177,X
Business,"Total Establishments","Educational services",383,X,269,X,459,X,243,X,263,X
Business,"Total Establishments","Health care and social assistance",2795,X,2692,X,3087,X,2385,X,2641,X
Business,"Total Establishments","Arts, entertainment, and recreation",340,X,401,X,484,X,293,X,345,X
Business,"Total Establishments","Accommodation and food services",2100,X,2362,X,2948,X,2012,X,1965,X
Business,"Total Establishments","Other services (except public administration)",1857,X,2024,X,2501,X,1806,X,1912,X
Business,"Total Establishments","Industries not classified",66,X,80,X,86,X,45,X,55,X

"Source: 2016 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
"5. Disclosure and Quality Indicator Flag Definitions:"
"D Withheld to avoid disclosing data for individual companies; data are included in higher level totals"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
